action_rank,review_priority,world500_rank,company_id,company_name_en,company_name_zh,scope_en,scope_zh,basis_en,basis_zh,boundary_en,boundary_zh,value_text,unit_raw,value_mtco2e,needed_for_scope_1_2_3_completion,quick_win_for_direct_scope_completion,likely_reject_or_reextract,direct_scope_count,existing_direct_scope_set,verification_status,verification_reason_zh,source_kind,binding_mode,evidence_page,source_file,source_path,snippet_en,review_check_company_report,review_check_inventory_page,review_check_latest_year,review_check_unit,review_check_scope2_method,review_check_boundary,reviewer_decision,manual_emissions_ready,manual_note_zh
66,,258,r258_bharatpetroleum,BHARAT PETROLEUM,巴拉特石油公司,Scope 3,范围3,,,,,000,tCO2e,0.0,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值,report_page_anchor,table_column_anchor,79,BHARAT PETROLEUM sustainability-report-2023-24.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BHARAT PETROLEUM sustainability-report-2023-24.pdf,Scope 3 Emissions (in 000 MTCO2e) Scope 3: Indirect GHG Emissions (in 000 MTCO2e) Particulars FY 2023-24 FY 2022-23 FY 2021-22 FY 2020-21 FY 2019-20 Emissions by Crude & LPG imported 350.46 486.38 314.22 282.56 306.21 Emissions by downstream transportation of goods & services 606,,,,,,,,,
67,,263,r263_novartis,NOVARTIS,诺华公司,Scope 1,范围1,,,,,207.0,tCO2e,0.000207,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,year_table_row_anchor,61,novartis-integrated-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\novartis-integrated-report-2024.pdf,... energy generated on site 0.1 0.1 0.0 ∆ Greenhouse gas (GHG) emissions (1 000 tCO2e) 3 Total Scope 1 emissions 207.0 251.1 263.2 ∆ Total Scope 2 emissions (market-based) 30.0 44.1 106.6 ∆ Total Scope 2 emissions (location-based) 200.4 194.9 259.7 ∆ Total Scope 1 and Scope 2 emiss,,,,,,,,,
68,,263,r263_novartis,NOVARTIS,诺华公司,Scope 3,范围3,,,,,4,tCO2e,4e-06,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值,report_page_anchor,year_table_row_anchor,61,novartis-integrated-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\novartis-integrated-report-2024.pdf,...s (location-based) 200.4 194.9 259.7 ∆ Total Scope 1 and Scope 2 emissions 237.0 295.2 369.8 Total Scope 3 emissions 4 4 350.3 4 573.7 4 994.0 ∆ Purchased goods and services 5 3 372.5 3 498.4 4 113.2 Capital goods 5 195.7 208.6 181.6 Fuel and energy related activities 96.6 178.4 ,,,,,,,,,
69,,271,r271_tatamotors,TATA MOTORS,印度塔塔汽车公司,Scope 2,范围2,Market-Based,市场法,,,0.305,tCO2,,True,False,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e,report_page_scan,table_column_anchor,85,tata-motor-IAR-2024-25.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\tata-motor-IAR-2024-25.pdf,"Scope 1 GHG emissions (tCO2e) 70,746 Scope 2 GHG Emissions (Market-based) (tCO2) 2,14,289 Specific GHG (Scope 1+2) emissions (tCO2 /vehicle) 0.305 70,746 2,14,289 0.305 71,278* 2,38,018* 0.317* 63,728 2,78,465 0.359 0.7%↓ 10%↓ 4%↓ FY25 FY25 FY25 FY24 FY24 FY24 FY23 FY23 FY23 Driv",,,,,,,,,
70,,282,r282_volvo,VOLVO,沃尔沃集团,Scope 1,范围1,,,,,2,tCO2e,2e-06,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；上下文像基准/目标/进度值，不是清单排放值,report_page_scan,year_table_row_anchor,157,volvo-group-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\volvo-group-annual-report-2024.pdf,...nd divestments in line with GHG protocol to include the same scope over the years 2019-2024. Scope 1 and 2 combined baseline has been restated due to refinements in data reporting and consolidation. The baseline for GHG emissions from scope 3.11 has been restated due to inclusion,,,,,,,,,
71,,324,r324_americaninternationalgroup,AMERICAN INTERNATIONAL GROUP,美国国际集团,Scope 1,范围1,,,,,1,tCO2e,1e-06,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,table_column_anchor,34,AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf,...lations incorporate certain third-party information. We have obtained limited assurance over scope 1 and scope 2 (location-based) GHG emissions for the year ending 12/31/2024. See the Report of Independent Accountants for the assurance statement and our Management Assertion for d,,,,,,,,,
72,,324,r324_americaninternationalgroup,AMERICAN INTERNATIONAL GROUP,美国国际集团,Scope 2,范围2,Location-Based,位置法,,,2,tCO2e,2e-06,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,table_column_anchor,34,AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf,...rporate certain third-party information. We have obtained limited assurance over scope 1 and scope 2 (location-based) GHG emissions for the year ending 12/31/2024. See the Report of Independent Accountants for the assurance statement and our Management Assertion for details on th,,,,,,,,,
73,,324,r324_americaninternationalgroup,AMERICAN INTERNATIONAL GROUP,美国国际集团,Scope 3,范围3,,,,,"9,076",tCO2e,0.009075999999999999,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；上下文像基准/目标/进度值，不是清单排放值；Scope 3 投融资排放需要 PCAF 拆分复核,report_page_anchor,table_column_anchor,34,AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf,"...sions (location- based) increased by 1% against prior year and baseline (2022). Our measured scope 3 emissions in Table 2, excluding category 15 (financed emissions), are primarily from purchased goods and services and business-related travel. 2024 scope 3 emissions decreased by ",,,,,,,,,
74,,359,r359_massachusettsmutuallifeinsurance,MASSACHUSETTS MUTUAL LIFE INSURANCE,万通互惠理财公司,Scope 2,范围2,Location-Based,位置法,,,"14,627",tCO2e,0.014627,True,False,True,0,,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,18,2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf,"...ocation-based emissions (tCO2e) 2019 baseline 2022 2023 2024 Scope 1 8,991 8,495 7,776 8,228 Scope 2 (location-based)20 20,210 17,572 15,919 14,627 Total emissions 29,201 26,067 23,695 22,855 17 MassMutual is committed to continually evaluating our processes to ensure we use high",,,,,,,,,
75,,397,r397_xiaomi,XIAOMI,小米集团,Scope 1,范围1,,,,,"12,252.52",tCO2e,0.01225252,True,False,True,0,,review_required,Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_scan,year_table_row_anchor,85,"Xiaomi 2023 Environmental, Social, and Governance Report.pdf","C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Xiaomi 2023 Environmental, Social, and Governance Report.pdf","...2,810.89 Indirect Energy Consumption: Renewable Energy MWh 372.00 - - - Total GHG Emissions (Scope 1 and Scope 2) 75 tonne (Mt) of CO2e 116,722.56 85,742.61 82,820.16 66,481.29 Direct GHG Emissions: Scope 1 tonne (Mt) of CO2e 12,252.52 7,122.60 9,096.95 8,402.12 CO2 tonne (Mt) of",,,,,,,,,
76,,449,r449_nationalaustraliabank,NATIONAL AUSTRALIA BANK,澳大利亚国民银行,Scope 2,范围2,Location-Based,市场法,,,"71,840",tCO2,,True,False,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e,report_page_anchor,table_column_anchor,104,2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,"...missions from vehicle fleet (Scope 1) (tCO2-e) 0 5,138 5,138 7 GHG emission from energy use (Scope 2, location-based - electricity) (tCO2-e) 93 49,472 49,565 8 Total gross Scope 1 and 2 GHG emissions for SECR reporting (tCO2-e) 102 55,098 55,200 9 Total gross Scope 3 GHG emission",,,,,,,,,
77,,449,r449_nationalaustraliabank,NATIONAL AUSTRALIA BANK,澳大利亚国民银行,Scope 3,范围3,,,,,0.001,tCO2,,True,False,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,104,2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,"...ross Scope 1 and 2 GHG emissions for SECR reporting (tCO2-e) 102 55,098 55,200 9 Total gross Scope 3 GHG emissions for SECR reporting (tCO2-e) 831 71,009 71,840 10 Intensity ratio: Energy (KWh)/$ Financial Metric 0.001 0.010 0.009 11 Intensity ratio: Gross Scope 1 and 2 GHG emiss",,,,,,,,,
78,,449,r449_nationalaustraliabank,NATIONAL AUSTRALIA BANK,澳大利亚国民银行,Scope 3,范围3,PCAF financed emissions methodology,PCAF投融资排放方法,,,0.001,tCO2,,True,False,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；上下文像基准/目标/进度值，不是清单排放值；Scope 3 投融资排放需要 PCAF 拆分复核,report_page_scan,table_column_anchor,104,2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,"...ross Scope 1 and 2 GHG emissions for SECR reporting (tCO2-e) 102 55,098 55,200 9 Total gross Scope 3 GHG emissions for SECR reporting (tCO2-e) 831 71,009 71,840 10 Intensity ratio: Energy (KWh)/$ Financial Metric 0.001 0.010 0.009 11 Intensity ratio: Gross Scope 1 and 2 GHG emiss",,,,,,,,,
79,,464,r464_britishamericantobacco,BRITISH AMERICAN TOBACCO,英美烟草集团,Scope 2,范围2,Market-Based,市场法,,,325,tCO2e,0.000325,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值,report_page_scan,year_table_row_anchor,140,BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,"...ource 2024 2023 2022 2021 2020 Total Scope 1 CO2e 1,2 237 299 329 325 342 Total Scope 2 CO2e Market-based 1 74 95 113 170 199 Total Scope 2 CO2e Location-based 325 342 356 393 418 Total Scope 3 CO2e 3,4 N/A 5,479 6,155 6,198 5,882 Total Scope 3 Industrial (Non-FLAG) emissions N/A",,,,,,,,,
80,,464,r464_britishamericantobacco,BRITISH AMERICAN TOBACCO,英美烟草集团,Scope 3,范围3,,,,,4,tCO2e,4e-06,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值,report_page_scan,year_table_row_anchor,140,BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,"... CO2e Market-based 1 74 95 113 170 199 Total Scope 2 CO2e Location-based 325 342 356 393 418 Total Scope 3 CO2e 3,4 N/A 5,479 6,155 6,198 5,882 Total Scope 3 Industrial (Non-FLAG) emissions N/A 4,997 5,534 5,471 5,306 Total Scope 3 FLAG emissions N/A 481 621 726 576 Category 1: P",,,,,,,,,
81,,484,r484_commonwealthbankofaustralia,COMMONWEALTH BANK OF AUSTRALIA,澳洲联邦银行,Scope 1,范围1,,,,,"19,282",tCO2,,True,False,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e,report_page_scan,table_column_anchor,39,COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,"...rough Toitū Envirocare. Our certifications, including details on our boundary inclusions for Scope 1, 2 and selected Scope 3 emissions, are available on the Climate Active and Toitū Envirocare websites. Transitioning our fleet This year we have formalised a strategy to transition",,,,,,,,,
82,,484,r484_commonwealthbankofaustralia,COMMONWEALTH BANK OF AUSTRALIA,澳洲联邦银行,Scope 3,范围3,PCAF financed emissions methodology,PCAF投融资排放方法,,,"10,071",tCO2,,True,False,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；Scope 3 投融资排放需要 PCAF 拆分复核,report_page_scan,table_column_anchor,39,COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,"...Our certifications, including details on our boundary inclusions for Scope 1, 2 and selected Scope 3 emissions, are available on the Climate Active and Toitū Envirocare websites. Transitioning our fleet This year we have formalised a strategy to transition 100% of the Group’s fle",,,,,,,,,
83,,168,r168_torontodominionbank,TORONTO-DOMINION BANK,多伦多道明银行,Scope 2,范围2,Market-Based,市场法,,,"5,350",tCO2e,0.00535,False,False,True,3,Scope 1|Scope 2|Scope 3,review_required,缺少有效的 MtCO2e 折算值；上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,56,2024-TORONTO-DOMINION BANK-sustainability-report-en.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-TORONTO-DOMINION BANK-sustainability-report-en.pdf,"...Revenue GHG Emissions Intensity tCO2e per millions in revenue 2.0 2.3 2.4 3.8 Scope 1 and 2 (Market-Based)2 Scope 14 tCO2e 39,292 40,346 43,707 52,628 Scope 25,6 tCO2e 5,350 6,930 6,977 8,100 Total Scope 1 and 2 tCO2e P erformance indicators for which EY provided a limited level ",,,,,,,,,
84,,195,r195_americanexpress,AMERICAN EXPRESS,美国运通公司,Scope 2,范围2,Market-Based,市场法,,,569,tCO2e,0.000569,False,False,True,2,Scope 1|Scope 2,review_required,缺少有效的 MtCO2e 折算值,report_page_scan,table_column_anchor,67,AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf,"Greenhouse Gas Emissions7 Scope 1 - Direct MTCO2e 28,952 21,756 Scope 2 - Indirect (Location-Based) MTCO2e 93,687 85,188 Scope 2 - Indirect (Market-Based)4 MTCO2e 2,269 2,266 Scope 3 Category 5: Waste Generated in Operations5 MTCO2e 807 569 Category 6: Business Travel6 MTCO2e 18,",,,,,,,,,
85,,283,r283_intesasanpaolo,INTESA SANPAOLO,意大利联合圣保罗银行,Scope 2,范围2,Market-Based,市场法,,,0.7,tCO2e,7e-07,False,False,True,2,Scope 1|Scope 2,review_required,缺少有效的 MtCO2e 折算值,report_page_scan,table_column_anchor,99,2024_INTESA SANPAOLO-Climate_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024_INTESA SANPAOLO-Climate_Report.pdf,"...tors’ report | Contacts OWN OPERATIONAL FOOTPRINT Market Based GHG Emissions (tCO2e) Scope 1 Scope 2 tCO2e per FTE 2023 69,067 0.7 18,591 50,475 2024 61,936 0.6 16,656 45,280 Location Based GHG Emissions (tCO2e) Scope 1 Scope 2 tCO2e per FTE 2024 161,069 1.6 115,789 45,280 2023 1",,,,,,,,,
